,Department,CourseID,CourseName,Description,Instructors,TermsOffered,Prerequisites,Equivalent,Terms
1466,CEGU,CEGU 23516,Environment and Society in the Ancient Mediterranean.  ,"This seminar examines the interplay between social and environmental actors, practices, and changes across time in the Mediterranean basin, as well as explores the study and analysis of those interactions from the beginnings of classical scholarship to the present. Key themes include: environmental determinism, human and non-human interactions, interpretive approaches to space and place, the role of science in archaeological and historical practice, and the compartmentalization of ""environment"" and ""landscape"" as analytic focus. These themes loom large now - during what might be called the ""environmental turn"" spurred on by the controversial Anthropocene in the humanities and social sciences - and their intensifying resonance provides the basis for critical reflection of past and future trends in classics, history, archaeology, and anthropology.",C. Kearns.,Spring,N/A,"ENST 23516, CLAS 33516, CLCV 23516",Spring
1467,CEGU,CEGU 23517,"Introduction to Critical Spatial Media: Visualizing Urban, Environmental, and Planetary Change.  ","This course introduces critical theories and techniques for visualizing interconnected transformations of urban, environmental, and planetary systems  amidst the pressures of climate change, urbanization, and global economies of capitalism. Weekly lectures will introduce major themes and theoretical debates, paired with hands-on lab tutorials exploring a selection of methods in conventional and experimental geographic visualization. Thematically, the course will be organized around critical interpretations of the Anthropocene, a concept designating the epoch in which anthropogenic activities are recognized as the dominant force of planetary climatic and ecological change. We will present these interpretations through modules structured around different conceptual paradigms and alternative epochal designations (e.g. the Urbanocene, the Capitalocene, the Plantationocene). Through weekly lab exercises and a final, synthetic project, the course will move from critically analyzing prevalent theoretical frameworks, geospatial data, and associated visualization techniques to creatively visualizing critical alternatives. Students will learn how to construct visual narratives through a variety of spatial media (e.g. maps, diagrams, visual timelines), scales (e.g. bodies, neighborhoods, landscapes, the planetary), and techniques/platforms (e.g. GIS, web mapping, basic programming language tools, and vector/raster visualization programs).","Alexander Arroyo, Grga Basic, Sol Kim","Autumn
Winter",N/A,"ENST 23517, ARCH 23517, MAAD 13517, ARTV 20665","Autumn, Winter"
1468,CEGU,CEGU 23624,The Geography of Italian Cinema.  ,"Italian cinema is widely known and appreciated, especially thanks to the masterpieces of Neorealism and some authors and actors capable of imposing themselves on an international scale. But Italian cinema is also made up of unforgettable places, mountains, volcanoes, rivers or trees that have taken on repeatedly the role of anonymous protagonists. Italian cinema is thus closely linked to means of transportation and all those infrastructures that have made and make possible the internal migration and viability along the Peninsula. This course rethinks the history and present of Italiancinema in relation to geography. Through the analysis of different films, the course examines the ability of filmmakers to document and, at the same time, participate in the physical, cultural, and social aspects of Italy, and how these depictions have changed over time. We will ask how Italian cinema has contributed to building a recognizable and shared image of a country characterized by profound landscape, economic and cultural differences. But we will also ask how the landscapes themselves have influenced and still influence the choices of directors and the aesthetic orientations of our gazes.",N/A,N/A,N/A,"CMST 23624, ITAL 23624",None
1469,CEGU,CEGU 24000,Is It Ethical to Have Children in the Climate Crisis?  ,"Climate change is not just an urgent environmental crisis for scientists, engineers, and policy makers: it is a moral problem that also informs individual and intimate aspects of human life, including choices about reproduction and parenting. For example, a 2018 survey published in the New York Times found that young adults in the U.S. are having fewer children than they would otherwise prefer, in part due to concerns about climate change and overpopulation. In this course, we examine the moral dimensions of having and raising children in an era shaped by climate change, looking closely at two main questions: 1) Is it ethical to have children in light of the world that the next generation will inherit, which may include more extreme weather events, unvoluntary human migrations, diminished access to resources, and heightened insecurity? 2) Is it ethical to have children in the context of the affluent West, where consumptive human populations disproportionately contribute to the effects of climate change that impact the world's most vulnerable? We will examine various points of view on these questions, engaging material from the disciplines of environmental studies and ethics, science and technology studies, and religious and philosophical ethics. Responses from feminist, queer, Indigenous, Black, and religiously diverse authors (and intersections therein) will shape our course readings and discussions.",N/A,N/A,N/A,"GNSE 23154, ENST 24000, CCTS 21023, HLTH 24000, RLST 24000, HIPS 24100",None
1470,CEGU,CEGU 24102,Environmental Politics.  ,"Politics determines not only what particular faction holds power, but the parameters upon which contests for power are conducted.  Competing political factions may diverge in the details of the policies they favor, but may agree on a central organizing principle upon which their policy differences are contested.  This course acknowledges that such principles exist and structure politics, economics, and social arrangements, but also challenges the notion that these are immutable, and argues that other principles could be substituted which would drastically change these arrangements.  The course introduces students to alternative theories of economics, politics, and environmental policy that challenge mainstream notions of what is acceptable under the current structural and institutional constraints, including how the retreat to notions of realism and practicality place limits on changes necessary to preserve and protect the natural environment.",R. Lodato,Spring,N/A,"ENST 24102, PBPL 24102",Spring
1471,CEGU,CEGU 24110,Nature and the Natural in the Middle Ages.  ,"In this course we will undertake a study of nature and ideas about what is ""natural"" centered around three main axes, and will adopt a variety of relevant critical perspectives (e.g., ecocriticism, studies of gender and sexuality, political theory) to support our analyses. First, we will explore nature as the created world of which humans are a part (as one of God's creations), yet from which they also stand apart (as sovereign caretakers). Second, we will examine how the diffusion of Aristotelian works (notably the Politics) in the later Middle Ages provided a justificatory framework for social and political hierarchies and practices of economic exploitation. Third, we will consider the intersection of nature with gender, sexuality, and reproduction, a topic complicated by the fact that Nature is itself represented, in allegorical terms, as a woman.",Daisy Delogu,Autumn,"Reading knowledge of French for all students. FREN 20500, 20503 or a literature course taught in French for those seeking credit for the French major/minor.","ENST 24110, FREN 24100, GNSE 24103, GNSE 34103, MDVL 24103, FREN 34100",Autumn
1472,CEGU,CEGU 24190,Imagining Chicago's Common Buildings.  ,"This course is an architectural studio based in the common residential buildings of Chicago and the city's built environment. While design projects and architectural skills will be the focus of the course, it will also incorporate readings, a small amount of writing, some social and geographical history, and several explorations around Chicago. The studio will: (1) give students interested in pursuing architecture or the study of cities experience with a studio course and some skills related to architectural thinking, (2) acquaint students intimately with Chicago's common residential buildings and built fabric, and (3) situate all this within a context of social thought about residential architecture, common buildings, housing, and the city. This course is part of the College Course Cluster program: Urban Design.",L. Joyner,Autumn,N/A,"CHST 24190, GEOG 24190, ARTV 20210, ENST 24190, ARCH 24190, AMER 24190, ARTH 24190",Autumn
1473,CEGU,CEGU 24191,"City Imagined, City Observed.  ","This urban design studio course takes two distinct notions of the city as its starting point: grand, imaginative plans -- utopian, unbuilt, semi-realized, real... both as aesthetic objects, and as ideas -- and how the minute flows of day-to-day life, up from the smallest scale, enter into dialogue with little built and lived details, intended or not. Drawing on both Chicago and other places (not just urban) that individual students know well, we will dream both big and small, search both present and past, and tap precisely into both what we dream and what we experience... seeking not to dictate what the city will be, but to use these different modes of understanding to expand our sense of what a city can be. Necessarily, we'll grapple with difficult contradictions cities pose, our most central personal assumptions about spaces and places, and with questions of how, especially in present-day capitalism, cities change. We take as given the inevitable gap between how places actually evolve and how, perhaps, they could, and use that gap as a site for the imagination to step in, while also confronting the hubris of imagining cities real. The studio work will proceed in three stages: individually developing an alternate vision for a place you know well, at a historical moment of your choice... then breaking each others' plans... and finally using real observations and factors (and even spontaneous impulse) to complicate and rebuild your vision into something lovelier.",L. Joyner,Winter,N/A,"ARTV 20205, ARCH 24191, CHST 24191, AMER 24191, GEOG 24191, ENST 24191, ARTH 24191",Winter
1474,CEGU,CEGU 24193,Water Water Everywhere?  ,"This interdisciplinary course explores aesthetics, environmental racism, and a human rights approach to the Commons to inform our perspective on the politics and aesthetics of water from the local to the global. The course will look at issues of scarcity and abundance through the lenses of art and human rights. The course will incorporate work by artist Iñigo Manglano-Ovalle, who will visit the class.  Students will consider works by other artists including Mel Chin, Allan Kaprow, LaToya Ruby Frazier, and Fazal Sheikh, to understand how art can confront the 21st century's environmental challenges. Readings will include Susan Sontag's Regarding the Pain of Others, and Fred Moten & Stefano Harney's The Undercommons. The course will include visits to site specific installations by artists Iñigo Manglano-Ovalle and Mel Chin, and visits to Chicago-area natural sites such as the Big Marsh and Lake Michigan. This course is an extension of a collaborative project at the Gray Center for Arts and Inquiry with human rights lawyer Susan Gzesh, artist Iñigo Manglano-Ovalle, and curator Abigail Winograd.","S. Gzesh, Staff",September Term,Third- or fourth-year standing,"ENST 24193, BPRO 24193, HMRT 24193, ARTH 24193, SOSC 21005, CHST 24193",None
1475,CEGU,CEGU 24196,Second Nature: New Models for the Chicago Park District.  ,"The Chicago Park District seems to preserve ""first nature"" within the metropolitan field. But the motive for establishing this sovereign territory was hardly natural. Today, cultural change raises questions about the significance and operation of this immense network of civic spaces. What opportunities emerge as we rethink them? While this design studio focuses on the development of new model parks for Chicago, it can support students coming from a broad range of disciplines. Texts, seminar discussions, and field trips will complement and nourish the development of architectural proposals.",A. Schachman,Autumn,Consent only,"ENST 24196, ARCH 24196, ARTV 20206, ARTH 24196, GEOG 24196",Autumn
1476,CEGU,CEGU 24206,Cultural Cartography of Bronzeville.  ,"The city continually erases itself, replacing the spaces, architectures, objects and activities that resonate in the memory of its inhabitants. While this process is the consequence of familiar forces - capitalist development, socio-cultural changes, environmental responses - the phenomenon of perpetual erasure sometimes produces a form of collective amnesia, interfering with our ability to reconcile with our pasts, especially histories of systemic displacement, exclusion, and exploitation. This course, a hybrid of a seminar and studio, will examine the deep cultural and urbanistic implications of Chicago's Bronzeville. Via poetry, fiction, history, testimony, interviews, photography,and films, students will recover Bronzeville's layered history and contemporary implications. In the studio, students will develop drawings to connect these narratives so space and time. Via site visits and conversations, this course will connect with artists, architects and researchers currently completing projects within and adjacent to this area of the city.",N/A,N/A,N/A,"AMER 24206, CHST 24206, ARCH 24206, ENST 24206, ARTH 24206",None
1477,CEGU,CEGU 24600,Introduction to Urban Sciences.  ,"This course is a grand tour of conceptual frameworks, general phenomena, emerging data and policy applications that define a growing scientific integrated understanding of cities and urbanization. 
It starts with a general outlook of current worldwide explosive urbanization and associated changes in social, economic and environmental indicators. It then introduces a number of historical models, from sociology, economics and geography that have been proposed to understand how cities operate. We will discuss how these and other facets of cities can be integrated as dynamical complex systems and derive their general characteristics as social networks embedded in structured physical spaces. Resulting general properties of cities will be illustrated in different geographic and historical contexts, including an understanding of urban resource flows, emergent institutions and the division of labor and knowledge as drivers of innovation and economic growth. 
The second part of the course will deal with issues of inequality, heterogeneity and (sustainable) growth in cities. We will explore how these features of cities present different realities and opportunities to different individuals and how these appear as spatially concentrated (dis)advantage that shape people's life courses. We will show how issues of inequality also have consequences at more macroscopic levels and derive the general features of population and economic growth for systems of cities and nations.",Luis Bettencourt,TBD. Not offered in 2023-2024 academic year.,STAT 22000,"ENST 24600, GISC 24600, PBPL 24605, GISC 34600, SOCI 20285",None
1478,CEGU,CEGU 24660,Urban Geography.  ,"This course examines the spatial organization and current restructuring of modern cities in light of the economic, social, cultural, and political forces that shape them. It explores the systematic interactions between social process and physical system. We cover basic concepts of urbanism and urbanization, systems of cities urban growth, migration, centralization and decentralization, land-use dynamics, physical geography, urban morphology, and planning. Field trip in Chicago region required.
This course is part of the College Course Cluster, Urban Design.",M. Conzen,Winter,N/A,"CEGU 34660, ARCH 24660, ENST 24660",Winter
1479,CEGU,CEGU 24701,U.S. Environmental Policy.  ,"How environmental issues and challenges in the United States are addressed is subject to abrupt changes and reversals caused by extreme partisanship and the heightened significance of the issues for the health of the planet and all its inhabitants.  The relatively brief history of this policy area, and the separate and distinct tracts in which public lands and pollution control issues are adjudicated, makes for a diverse and complex process by which humanity's impact on the natural world is managed and contained.  This course focuses on how both types of environmental issues are addressed in each branch of the Federal government, the states and localities, as well as theories of how environmental issues arrived onto the public agenda and why attention to them is cyclical.  Students are encouraged to understand the life cycle of public policy from its initial arrival on the public agenda to the passage of legislation to address adverse conditions, as well as how changes in the policy occur after the inevitable decline of intensive attention.",R. Lodato,Winter,N/A,"ENST 24701, PBPL 24701",Winter
1480,CEGU,CEGU 24705,"Energy:  Science, Technology, and Human Usage.  ","This course covers the technologies by which humans appropriate energy for industrial and societal use, from steam turbines to internal combustion engines to photovoltaics. We also discuss the physics and economics of the resulting human energy system: fuel sources and relationship to energy flows in the Earth system; and modeling and simulation of energy production and use. Our goal is to provide a technical foundation for students interested in careers in the energy industry or in energy policy. Field trips required to major energy converters (e.g., coal-fired and nuclear power plants, oil refinery, biogas digester) and users (e.g., steel, fertilizer production).  This course is part of the College Course Cluster program: Climate Change, Culture and Society.",E. Moyer,Spring,Knowledge of physics or consent of instructor,"ENSC 21100, ENST 24705, GEOS 24705, GEOS 34705",Spring
1481,CEGU,CEGU 24776,International Environmental Policy.  ,"Environmental issues have become a prominent part of the work of international organizations and their member nations. However, the resolution to issues and concerns shared in common by the nations of the world often faces obstacles based on access to wealth and resources, political and military power, and the demands of international economic institutions.  While multinational agreements have been achieved and successfully implemented, resolutions to issues such as climate change have been harder to achieve.  The course will look at the origins of international cooperation on environmental issues, several case studies of issues upon which the international community has attempted to bring about cooperative solutions (climate change, the ozone hole, climate refugees, etc.), and the work that regional associations of nations have done to jointly address shared environmental challenges.  In addition, speakers from various consulates have addressed the class to discuss environmental policymaking in their countries.",R. Lodato,Spring,N/A,"ENST 24776, PBPL 24776",Spring
1482,CEGU,CEGU 24830,"Oil, Power, Modernity: The Anthropology of Energy.  ","Oil is often regarded as the quintessential commodity of modern industrial capitalism. Oil is a material substrate of power-as a source of energy, an impetus for warfare, and a source of windfall revenue  for multinational corporations and  petrostates.  This undergraduate seminar surveys social scientific approaches to oil and adjacent energy complexes. This seminar  will debate the character of oil as a material substance and an instrument of political power. To this end, students will consult the writings of anthropologists, geographers, and economists alongside creative media including film, television, and short stories.",Ryan Jobson,TBD,N/A,"ANTH 24830, LACS 34830, LACS 24830, ANTH 35515",None
1483,CEGU,CEGU 24918,Early Traveling Writing: Pausanias in Roman Greece.  ,"Through a close reading of Pausanias, who wrote his Description of Greece during the Roman imperial period, this course explores ancient forms of travel writing and associated interests in the places, peoples, myths, ruins, and material objects of the Mediterranean world. Moving from the apparent ethnographic lens of earlier Greek literature to Roman imperialist expeditions, readings and discussions will examine the sociopolitical contexts out of which Pausanias emerged as a literary author, and his legacies in and relationship to the wide array of genres of modern travel writing, from Lewis and Clark to John Steinbeck. Key topics will include: movement through space, tourism, nature, landscape, town and country, sites and spectacles, myth, ritual, and acts of remembering and forgetting.",Catherine Kearns,Winter,N/A,"FNDL 24918, CLCV 24918, CLAS 34918, ENST 24918, ANCM 34918",Winter
1484,CEGU,CEGU 25012,Undergraduate research seminar: Chicago Urban Morphology.  ,"This seminar is open to Seniors and Juniors, particularly for but not necessarily limited to those in the fields of geography, environmental science, and urban studies.  It is designed for students to undertake original research on a topic of their own choosing within the broad scope of Chicago's built environment.  Following a brief reading course in the theoretical literature of urban morphology, each student will identify and select a topic of interest to research using Chicago sources, with the objective of a formal written research paper.  Discussions will center around formulating research questions, theoretical underpinnings, suitable methodology, modes of writing, appropriate presentation of evidence, and effective illustration.  Sessions will combine open discussion with a rotating series of periodic individual progress reports to the group, reflecting an interesting diversity of topics and mutual support in gaining experience in the research process.",Michael Conzen,Winter,N/A,"PBPL 25012, ENST 25012, GEOG 25012, SOCI 20552, ARCH 25012, CHST 25012",Winter
1485,CEGU,CEGU 25014,Introduction to Environmental History.  ,"How have humans interacted with the environment over time? This course introduces students to the methods and topics of environmental history by way of classic and recent works in the field: Crosby, Cronon, Worster, Russell, and McNeill, etc. Major topics of investigation include preservationism, ecological imperialism, evolutionary history, forest conservation, organic and industrial agriculture, labor history, the commons and land reform, energy consumption, and climate change. Our scope covers the whole period from 1492 with case studies from European, American, and British imperial history.",F. Albritton Jonsson,Winter,N/A,"HIST 25014, HIPS 25014, ENST 25014, CHSS 35014, HIST 35014",Winter
1486,CEGU,CEGU 25704,Environmental Justice in Chicago.  ,"This course will examine the development of environmental justice theory and practice through social scientific and ethical literature about the subject as well as primary source accounts of environmental injustices. We will focus on environmental justice issues in Chicago including, but not limited to waste disposal, toxic air and water, the Chicago heat wave, and climate change.  Particular attention will be paid to environmental racism and the often understudied role of religion in environmental justice theory and practice. Throughout the course we will explore how normative commitments are expressed in different types of literature as well as the basis for normative judgments and the types of authorities authors utilize and claim as they consider environmental justice.",Sarah Fredericks,Winter,N/A,"CRES 25704, RLST 25704, AMER 25704, ENST 25704, PBPL 25704, CHST 25704, HMRT 25704, KNOW 25704",Winter
1487,CEGU,CEGU 25705,Climate Ethics.  ,"Anthropogenic climate change is the largest challenge facing human civilization.  Its physical and temporal scale and unprecedented complexity at minimum require extensions of existing ethical systems, if not new ethical tools.  In this course we will examine how religious and philosophical ethical systems respond to the vast temporal and spatial scales of climate change.  For instance, common principles of environmental ethics such as justice and responsibility are often reimagined in climate ethics even as they are central to the ethical analysis of its effects.  In the course, we will take a comparative approach to environmental ethics, examining perspectives from secular Western philosophy, Christianity (Catholic and Protestant), Buddhist, and Indigenous thought.  We will also look at a variety of ethical methods.  Throughout the course we will focus on communication about climate change as well as articulating rigorous ethical arguments about its causes and implications.",Sarah Fredericks,Spring,N/A,"ENST 25705, RLST 25703",Spring
1488,CEGU,CEGU 26100,Roots of the Modern American City.  ,"This course traces the economic, social, and physical development of the city in North America from pre-European times to the mid-twentieth century. We emphasize evolving regional urban systems, the changing spatial organization of people and land use in urban areas, and the developing distinctiveness of American urban landscapes. All-day Illinois field trip required. This course is part of the College Course Cluster, Urban Design.",M. Conzen,Autumn. Offered 2021-22,N/A,"HIST 38900, CHST 26100, ENST 26100, HIST 28900, CEGU 36100, ARCH 26100",Autumn
1489,CEGU,CEGU 26106,Tropical Commodities in Latin America.  ,"This colloquium explores selected aspects of the social, economic, environmental, and cultural history of tropical export commodities from Latin America-- e.g., coffee, bananas, sugar, tobacco, henequen, rubber, vanilla, and cocaine. Topics include land, labor, capital, markets, transport, geopolitics, power, taste, and consumption.",E. Kourí,Winter,N/A,"HIST 36106, LACS 36106, LACS 26106, HIST 26106",Winter
1490,CEGU,CEGU 26260,Environmental Justice in Principle and Practice.  ,"This course will investigate the foundational texts on environmental justice as well as case studies, both in and out of Chicago.  Students will consider issues across a wide spectrum of concerns, including toxics, lead in water, waste management, and access to greenspaces, particularly in urban areas.  These topics will be taught in accompaniment with a broader understanding of how social change occurs, what barriers exist to producing just outcomes, and what practices have worked to overcome obstacles in the past. The class will welcome speakers from a variety of backgrounds to address their work on these topics.",Ray Lodato,Winter,N/A,"PBPL 26260, ENST 26260, CHST 26259",Winter
1491,CEGU,CEGU 26261,Environmental Justice in Principle and Practice II.  ,"In this quarter, students will learn and practice methods to conduct a research project with a local environmental organization.  Building on knowledge gained in the first half of this course, students will examine what makes a condition an environmental justice issue, how to conduct a literature review, how to develop and administer a questionnaire for key informant interviews, and how to access, understand, and utilize Census data.  Students should expect to work in the community as well as the classroom, and in close collaboration with classmates.  The class will conduct ""deep-dive"" research into the community selected, and will learn not only about the area, but techniques for how to do community-based research in a manner that acknowledges and appreciates the lived wisdom of the neighborhood's residents.  The result will be a research report delivered to the community organization with students in the class listed as co-authors.",Ray Lodato,Winter,N/A,"PBPL 26261, CHST 26261, ENST 26261",Winter
1492,CEGU,CEGU 26330,Making the Maya World.  ,"What do we know about the ancient Maya? Pyramids, palaces, and temples are found from Mexico to Honduras, texts in hieroglyphic script record the histories of kings and queens who ruled those cities, and painted murals, carved stone stelae, and ceramic vessels provide a glimpse of complex geopolitical dynamics and social hierarchies. Decades of archaeological research have expanded that view beyond the rulers and elites to explore the daily lives of the Maya people, networks of trade and market exchange, and agricultural and ritual practices. Present-day Maya communities attest to the dynamism and vitality of languages and traditions, often entangled in the politics of archaeological heritage and tourism. This course is a wide-ranging exploration of ancient Maya civilization and of the various ways archaeologists, anthropologists, linguists, historians, and indigenous communities have examined and manipulated the Maya past. From tropes of long-hidden mysteries rescued from the jungle to New Age appropriations of pre-Columbian rituals, from the thrill of decipherment to painstaking and technical artifact studies, we will examine how models drawn from astrology, ethnography, classical archaeology and philology, political science, and popular culture have shaped current understandings of the ancient Maya world, and also how the Maya world has, at times, resisted easy appropriation and defied expectations.",Sarah Newman,TBD,N/A,"LACS 26330, ANTH 26330, LACS 36330, ANTH 36330",None
1493,CEGU,CEGU 26366,Planning for Land and Life in the Calumet.  ,"The collaborative plan to create a Calumet National Heritage Area that touches aspects of environmental conservation, economic development, cultural heritage, recreation, arts, and education will ground this course's exploration of landscape history and landscape planning in the Calumet region. Students will investigate this planning process and its relationship to other local and regional plans. A strong focus of the course is on the opportunities and challenges this complex and richly textured industrial region faces in its transition to a more sustainable future.",N/A,N/A,N/A,"HIST 27313, CHST 26366, PBPL 26366, ENST 26366",None
1494,CEGU,CEGU 26367,"Objects, Place and Power.  ","Objects are not only formed and interpreted through ideas of place and power, but also shape place and identity. This course looks at how material culture has, in part, formed understandings of the Calumet. Through methods drawn from art history and museum studies, we will look closely at objects, collections, and institutions in the region to analyze the power and politics of representation in placemaking.",Jessica Landau,Spring,N/A,"ARTH 26367, PBPL 26367, HIST 27314, ENST 26367, CHST 26367",Spring
1495,CEGU,CEGU 26368,Environmental Transitions and Unnatural Histories.  ,"The course considers changes wrought in the natural landscape of the greater Calumet region beginning with indigenous Potawatomi and their forced removal.  Students will examine how the Calumet's natural environment became collateral damage of the industrial capitalism that transformed the region into an economic powerhouse and explore efforts to rehabilitate the Calumet's rich biodiversity, identifying the challenges and achievements of this most recent environmental transition.",Mary Beth Pudup,Spring,N/A,"ENST 26368, CHST 26368, PBPL 26368, HIST 27315, ANTH 26368",Spring
1496,CEGU,CEGU 26381,Water in Latin America.  ,"The course will explore how water shapes-and is shaped by-humans in Latin America. Drawing from case studies from the pre-Columbian era to the present, the course will consider struggles over aquatic resources, dam building, and hydraulic development, as well as the social life of water in the region. Some background in Latin American history or politics is helpful but not required.",Diana Schwartz-Francisco,Winter,N/A,"LACS 26381, HIST 26306",Winter
1497,CEGU,CEGU 26382,Development and Environment in Latin America.  ,"Description: This course will consider the relationship between development and the environment in Latin America and the Caribbean. We will consider the social, political, and economic effects of natural resource extraction, the quest to improve places and peoples, and attendant ecological transformations, from the onset of European colonialism in the fifteenth century, to state- and private-led improvement policies in the twentieth. Some questions we will consider are: How have policies affected the sustainability of land use in the last five centuries? In what ways has the modern impetus for development, beginning in the nineteenth century and reaching its current intensity in the mid-twentieth, shifted ideas and practices of sustainability in both environmental and social terms? And, more broadly, to what extent does the notion of development help us explain the historical relationship between humans and the environment?",Diana Schwartz Francisco,Winter,N/A,"ENST 26382, GLST 26382, HIST 36317, LACS 26382, HIST 26317, ANTH 23094, GEOG 26382, LACS 36382, HIPS 26382",Winter
1498,CEGU,CEGU 26400,Quantitative Methods in Public Policy.  ,"This class will provide an introduction to quantitative analysis in public policy. Much of the class is devoted to learning about the effects of policies and answering empirical, policy-relevant questions from observational data. In doing so, the course provides an introduction to critical and quantitative thinking in general. Students will be introduced to the basic toolkit of policy analysis, which includes sampling, hypothesis testing, Bayesian inference, regression, experiments, instrumental variables, differences in differences, and regression discontinuity. Students will also learn how to use a statistical software program to organize and analyze data. More importantly, students will learn the principles of critical thinking essential for careful and credible policy analysis.",Anthony Fowler,Winter,N/A,PBPL 26400,Winter
1499,CEGU,CEGU 26511,Cities from Scratch:  The History of Urban Latin America.  ,"Latin America is one of the world's most urbanized regions and its urban heritage long predates European conquest. Yet the region's urban experience has generally been understood through North Atlantic models, which often treat Latin American cities as disjunctive, distorted knockoffs of idealized US or European cities. This class interrogates and expands those North Atlantic visions by emphasizing the history of vital urban issues such as informality, inequality, intimacy, race, gender, violence, plural regulatory regimes, the urban environment, and rights to the city. Interdisciplinary course materials include anthropology, sociology, history, fiction, film, photography, and journalism produced from the late nineteenth to the early twenty-first centuries.",B. Fischer,Winter,"Some coursework in Latin American studies, urban studies, and/or history","HIST 26511, ENST 26511, ARCH 26511, HIST 36511, LACS 36510, LACS 26510",Winter
1500,CEGU,CEGU 27100,Cartographic Design and Geovisualization.  ,"This course is a hands-on introduction to core principles and techniques associated with cartographic design, especially with regards to digital map design and the geographic visualization of data. Main topics include map generalization, symbology, scale, visual variables, scales of measurement, 2D and 3D design, map animation and interaction, and web mapping. Students will work with open-source GIS software and web tools, culminating in a final project and peer critique.",Crystal Bae,Autumn. Offered 2023-24,N/A,"ENST 27111, CHST 27100, GISC 37100, GISC 27100",Autumn
1501,CEGU,CEGU 27110,Spatial Thinking in Historical Cartography.  ,"The course will introduce students to the ways in which cartographers in the English-speaking world have conceived of representing spatial patterns in map form, and how that has changed over time beginning in the 18th century, given changes in world view, cultural background, cartographic technology, business organization, and educational fashion. The objective is to sharpen students' ability to think critically about how maps have been produced in history, evaluate their design, effectiveness, and limitations, and the uses to which they have been put.",M. Conzen,Autumn,N/A,"GISC 27110, ENST 27110, CHST 27110",Autumn
1502,CEGU,CEGU 27111,Animal Policy.  ,"Brief Description: Humans share the Earth with countless multitudes of sentient, non-human beings. We categorize our fellow earthlings into, for example, farm animals; pets; wild animals; pests; and so on. For each of these animal categories, we have laws, policies, and norms that influence our interactions with our fellow creatures and also profoundly affect the births, lives, and deaths of animals. This discussion-based course examines animal-related policies. We will look at broad questions - should animal wellbeing be directly taken into account in policy analysis, or only accounted for via human interest in animal wellbeing? - as well as specific policies with respect to farm animals, zoo animals, companion animals, and so on.",N/A,N/A,N/A,PBPL 27110,None
1503,CEGU,CEGU 27155,Urban Design with Nature.  ,"This course will use the Chicago region as the setting to evaluate the social, environmental, and economic effects of alternative forms of human settlement. Students will examine the history, theory and practice of designing cities in sustainable ways - i.e., human settlements that are socially just, economically viable, and environmentally sound. Students will explore the literature on sustainable urban design from a variety of perspectives, and then focus on how sustainability theories play out in the Chicago region. How can Chicago's neighborhoods be designed to promote environmental, social, and economic sustainability goals? This course is part of the College Course Cluster program: Urban Design.",Sabina Shaikh and Emily Talen,Autumn,N/A,"CHST 27155, ENST 27155, BPRO 27155, PBPL 27156, GISC 27155",Autumn
1504,CEGU,CEGU 27450,Cities in Motion: the Architecture of Public Transit.  ,"How do you get from A to B?  Within and between today's urbanized areas, that seemingly simple question has become one of the most fraught and intractable problems. This course seeks to address questions about public transit across scales, from pedestrian and bicycle infrastructure at the level of individual intersections and blocks up to regional train networks and beyond. Like other design studio courses, the class will be project-based, and will ask students to develop a wide understanding of existing systems, but also to learn through creative design projects that expand their sense of what's possible.  After working together to understand many existing transit solutions across different scales, to come to terms with and document Chicago's transit landscape, and to dream speculatively about untested transit possibilities both low- and high-tech, students will focus on building a portfolio of creative suggestions for their respective ""clients"" (e.g., the University of Chicago, the 4th Ward Alderman). Alongside this project work, assigned readings and explorations around Chicago will immerse students in the culture and philosophy of moving people and things, across different moments past, present and future.",L. Joyner,Winter,N/A,"ENST 27450, ARTH 27450",Winter
1505,CEGU,CEGU 27521,Energy in World Civilizations I.  ,This two-quarter course explores the historical roots of climate change and other global environmental problems with a special attention to how energy use shapes human societies over time. Part I covers energy systems across the world from prehistory to the end of the nineteenth century.,F. Albritton Jonsson,Winter,Parts I and II should be taken in sequence. This sequence meets the general education requirement in civilization studies.,"HIPS 17521, ENST 27521, HIST 17521",Winter
1506,CEGU,CEGU 27522,Energy in World Civilizations II.  ,"This two-quarter course explores the historical roots of climate change and other global environmental problems with a special attention to how energy use shapes human societies over time. Part II covers energy systems across the world from the early twentieth century to the present, examining themes such as the uneven globalization of energy-intensive lifestyles, the changing geopolitics of energy, and possible futures beyond fossil-fuel dependence.",J. Mead,Spring,Parts I and II should be taken in sequence. This sequence meets the general education requirement in civilization studies.,"HIPS 17522, ENST 27522, HIST 17522",Spring
1507,CEGU,CEGU 28307,Global Environmental Humanities.  ,"This course is an introduction to the interdisciplinary field of environmental humanities, which calls on us to study the global environment, and the threats posed by globalization and climate change, using the tools of history, cultural studies, philosophy, and literature. Reading texts from these and other disciplines, we will attend to the ways that ""environment"" registers in political, aesthetic, and social life across the globe.  Sample authors: Fernand Braudel, William Cronon, Dipesh Chakrabarty, Amitav Ghosh, Ursula Heise, Joseph Masco, Jed Purdy, Anna Tsing.",Isabel Gabel,Autumn. Offered in Autumn 2023,N/A,"KNOW 28307, CHSS 38307, KNOW 38307, HIPS 28307, ENST 28307, HIST 25422",Autumn
